Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-7,5,0,-7,0,0
1,1,1,0,0,-7,5,0,-7,0,0
1,1,2,0,0,-7,5,0,-7,0,0
1,1,3,0,0,-7,5,0,-7,0,0
1,1,4,0,0,-7,4,0,-7,0,0
1,1,5,0,0,-6,3,0,-6,0,0
1,1,6,0,0,-6,3,0,-6,0,0
1,1,7,0,0,-6,2,0,-6,0,0
1,1,8,85,34,-5,2,71.685,-5.242,263.436,237.968
1,1,9,177,92,-3,2,196.498,0.654,732.096,696.031
1,1,10,373,124,-1,3,384.948,7.257,1411.238,1356.193
1,1,11,285,170,0,2,400.197,10.499,1459.168,1402.622
1,1,12,199,191,2,2,360.729,11.428,1313.104,1261.067
1,1,13,335,161,3,2,422.426,13.954,1515.249,1456.919
1,1,14,463,108,3,1,416.861,16.47,1462.456,1405.807
1,1,15,236,86,1,1,214.416,7.981,767.944,730.984
1,1,16,123,30,0,1,76.537,1.142,266.349,240.821
1,1,17,0,0,0,1,0,0,0,0
1,1,18,0,0,-1,1,0,-1,0,0
1,1,19,0,0,-2,1,0,-2,0,0
1,1,20,0,0,-2,1,0,-2,0,0
1,1,21,0,0,-3,1,0,-3,0,0
1,1,22,0,0,-3,1,0,-3,0,0
1,1,23,0,0,-3,1,0,-3,0,0
1,2,0,0,0,-3,1,0,-3,0,0
1,2,1,0,0,-3,1,0,-3,0,0
1,2,2,0,0,-3,1,0,-3,0,0
1,2,3,0,0,-3,1,0,-3,0,0
1,2,4,0,0,-4,1,0,-4,0,0
1,2,5,0,0,-5,1,0,-5,0,0
1,2,6,0,0,-6,1,0,-6,0,0
1,2,7,0,0,-5,1,0,-5,0,0
1,2,8,416,29,-4,2,171.293,-1.346,575.009,542.723
1,2,9,209,91,-2,3,210.293,1.845,777.266,740.072
1,2,10,383,123,0,4,389.874,7.484,1427.596,1372.042
1,2,11,448,144,1,4,492.908,11.166,1788.613,1721.169
1,2,12,442,156,2,4,515.284,12.884,1859.224,1789.313
1,2,13,841,68,3,4,674.878,17.448,2372.608,2283.367
1,2,14,790,61,3,3,561.012,16.765,1956.085,1882.714
1,2,15,674,49,2,3,382.12,11.152,1320.833,1268.562
1,2,16,392,26,0,3,155.896,3.078,508.61,477.853
1,2,17,0,0,0,3,0,0,0,0
1,2,18,0,0,0,4,0,0,0,0
1,2,19,0,0,0,4,0,0,0,0
1,2,20,0,0,-1,4,0,-1,0,0
1,2,21,0,0,-1,4,0,-1,0,0
1,2,22,0,0,-1,4,0,-1,0,0
1,2,23,0,0,-2,4,0,-2,0,0
1,3,0,0,0,-2,4,0,-2,0,0
1,3,1,0,0,-2,3,0,-2,0,0
1,3,2,0,0,-2,3,0,-2,0,0
1,3,3,0,0,-2,3,0,-2,0,0
1,3,4,0,0,-2,3,0,-2,0,0
1,3,5,0,0,-1,3,0,-1,0,0
1,3,6,0,0,-1,2,0,-1,0,0
1,3,7,0,0,0,2,0,0,0,0
1,3,8,258,37,0,2,132.689,1.545,453.165,423.653
1,3,9,512,76,0,1,344.566,9.697,1212.189,1163.151
1,3,10,633,97,1,1,515.656,17.244,1801.024,1733.15
1,3,11,0,32,1,2,30.345,1.613,115.753,93.201
1,3,12,0,28,0,5,26.55,-0.918,102.364,80.067
1,3,13,0,43,0,7,40.796,-0.51,157.018,133.672
1,3,14,0,114,-2,8,113.648,-1.382,439.018,409.819
1,3,15,420,88,-3,8,310.335,0.578,1138.616,1091.705
1,3,16,157,38,-4,8,98.264,-3.372,349.02,321.769
1,3,17,0,0,-5,8,0,-5,0,0
1,3,18,0,0,-6,8,0,-6,0,0
1,3,19,0,0,-7,8,0,-7,0,0
1,3,20,0,0,-8,8,0,-8,0,0
1,3,21,0,0,-9,8,0,-9,0,0
