Month,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Plane of Array Irradiance (W/m^2),DC Array Output (W),AC System Output (W)
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,85,34,71.685,263.436,237.968
1,177,92,196.498,732.096,696.031
1,373,124,384.948,1411.238,1356.193
1,285,170,400.197,1459.168,1402.622
1,199,191,360.729,1313.104,1261.067
1,335,161,422.426,1515.249,1456.919
1,463,108,416.861,1462.456,1405.807
1,236,86,214.416,767.944,730.984
1,123,30,76.537,266.349,240.821
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,416,29,171.293,575.009,542.723
1,209,91,210.293,777.266,740.072
1,383,123,389.874,1427.596,1372.042
1,448,144,492.908,1788.613,1721.169
1,442,156,515.284,1859.224,1789.313
1,841,68,674.878,2372.608,2283.367
1,790,61,561.012,1956.085,1882.714
1,674,49,382.12,1320.833,1268.562
1,392,26,155.896,508.61,477.853
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,258,37,132.689,453.165,423.653
1,512,76,344.566,1212.189,1163.151
1,633,97,515.656,1801.024,1733.15
1,0,32,30.345,115.753,93.201
1,0,28,26.55,102.364,80.067
1,0,43,40.796,157.018,133.672
1,0,114,113.648,439.018,409.819
1,420,88,310.335,1138.616,1091.705
1,157,38,98.264,349.02,321.769
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,431,31,177.179,620.844,587.479
1,723,53,416.538,1553.667,1494.099
1,447,114,418.527,1596.137,1535.183
1,902,68,716.589,2636.714,2536.574
1,527,138,556.839,2068.574,1991.077
1,882,74,713.188,2560.395,2463.47
1,552,95,461.961,1691.585,1627.455
1,454,68,306.062,1104.985,1059.03
1,261,32,125.622,435.596,406.472
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,541,27,202.188,680.373,645.578
1,784,46,437.509,1571.994,1511.829
1,879,57,612.715,2203.742,2121.129
1,916,63,720.887,2566.767,2469.576
1,893,74,749.494,2679.087,2577.138
1,889,68,712.392,2535.9,2439.996
1,851,60,601.673,2132.428,2052.535
1,752,47,421.203,1463.015,1406.348
1,498,26,186.571,607.117,574.077
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,463,28,179.685,604.012,571.046
1,455,70,311.185,1130.813,1084.125
1,452,115,422.988,1521.54,1463.008
1,890,63,703.594,2418.604,2327.511
1,303,184,438.737,1565.475,1505.523
1,881,65,699.605,2435.114,2343.352
1,829,60,590.052,2008.836,1933.545
1,708,50,405.558,1381.472,1327.349
1,441,28,172.783,558.344,526.446
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,47,35,56.472,211.867,187.441
1,91,96,153.438,583.941,551.447
1,0,104,102.319,397.816,369.519
1,0,114,111.343,430.962,401.94
1,26,174,195.2,744.876,708.494
1,44,175,219.044,828.668,790.165
1,38,142,175.852,667.119,632.645
1,10,89,95.042,363.642,336.08
1,0,29,28.32,110.742,88.286
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,412,31,170.702,583.811,551.319
1,681,54,397.726,1401.534,1346.791
1,793,65,575.232,2007.482,1932.24
1,41,173,214.397,811.478,773.416
1,832,80,716.05,2548.142,2451.729
1,806,81,674.586,2403.813,2313.318
1,746,74,558.883,2002.811,1927.74
1,636,59,387.522,1365.908,1312.264
1,370,33,162.186,544.627,513.046
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,100,35,76.574,273.34,247.669
1,0,86,86.724,332.44,305.54
1,94,150,219.857,828.191,789.701
1,12,156,165.337,629.53,595.958
1,390,172,488.9,1813.105,1744.811
1,85,186,261.069,986.299,943.632
1,67,149,202.062,765.227,728.336
1,6,90,93.929,360.862,333.36
1,0,20,18.952,73.642,51.885
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
